wormbase_gene	wormbase_locus	wormbase_gseq	entrezgene_id	description	uniprot_swissprot_accession	Wormbase_mode_of_regulation	Uniprot_mode_of_regulation
WBGene00003231	mex-6	AH6.5	174504	Zinc finger protein mex-6  [Source:UniProtKB/Swiss-Prot;Acc:Q09436]	Q09436		0
WBGene00007094		B0019.2	173147	SPK domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EBL4]			
WBGene00007105	znf-207	B0035.1	178042	BED-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q93156]			
WBGene00015075	penr-1	B0238.11	178915	HMG box domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O16487]			
WBGene00015091	vep-1	B0261.1	172168	Myb-like domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O01441]			
WBGene00003609	nhr-10	B0280.8	175993	Nuclear hormone receptor family member nhr-10  [Source:UniProtKB/Swiss-Prot;Acc:P41999]	P41999		1
WBGene00001438	fkh-6	B0286.5	181907	Forkhead transcription factor fkh-6  [Source:UniProtKB/Swiss-Prot;Acc:Q10924]	Q10924		0
WBGene00001948	hlh-1	B0304.1	173788	Myoblast determination protein 1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P22980]	P22980	1	0
WBGene00015138		B0310.2	180403	Putative zinc finger protein B0310.2  [Source:UniProtKB/Swiss-Prot;Acc:Q10938]	Q10938		
WBGene00000895	dac-1	B0412.1	175238	Dachshund homolog dac-1  [Source:UniProtKB/Swiss-Prot;Acc:H2KY91]	H2KY91		
WBGene00004393	rnt-1	B0414.2	172243	Runt-related transcription factor rnt-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EFQ5]	G5EFQ5		
WBGene00006766	unc-30	B0564.10	178265	Homeobox protein unc-30  [Source:UniProtKB/Swiss-Prot;Acc:P52906]	P52906	1	
WBGene00015285	gmeb-1	C01B12.2	182061	SAND domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O17208]			
WBGene00006342	sup-37	C01B7.1	179257	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:I7K4K0]			
WBGene00007242	madf-5	C01G12.1	175118	Alcohol dehydrogenase transcription factor myb/sant-like protein  [Source:UniProtKB/TrEMBL;Acc:O45233]			
WBGene00002717	let-526	C01G8.9	3565337	ARID domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:X5M5M2]		1	
WBGene00003622	nhr-23	C01H6.5	172460	Nuclear hormone receptor family member nhr-23  [Source:UniProtKB/Swiss-Prot;Acc:P41828]	P41828	1	
WBGene00003616	nhr-17	C02B4.2	191719	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q17589]			
WBGene00001953	hlh-8	C02B8.4	181069	Twist-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q11094]	Q11094	1	
WBGene00045215	ceh-63	C02F12.10	6418830	Homeobox protein ceh-63  [Source:UniProtKB/Swiss-Prot;Acc:A3FPJ2]	A3FPJ2		
WBGene00003002	lin-13	C03B8.4	176083	Zinc finger protein lin-13  [Source:UniProtKB/Swiss-Prot;Acc:Q11107]	Q11107		
WBGene00001194	egl-27	C04A2.3	174121	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	Q09228		
WBGene00002989	lim-7	C04F1.3	172236	LIM/homeobox protein lim-7  [Source:UniProtKB/Swiss-Prot;Acc:G5EC36]	G5EC36		
WBGene00015451		C04F5.9	178899	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9GZC9]			
WBGene00001204	egl-38	C04G2.7	177876	Paired box protein 5 homolog  [Source:UniProtKB/Swiss-Prot;Acc:G5ED14]	G5ED14	1	
WBGene00015477	attf-4	C05D10.1	175858	AT hook-containing protein attf-4  [Source:UniProtKB/Swiss-Prot;Acc:Q11178]	Q11178		
WBGene00015497	nhr-76	C05G6.1	182276	Nuclear hormone receptor family member nhr-76  [Source:UniProtKB/Swiss-Prot;Acc:Q65CM0]	Q65CM0	1	
WBGene00003695	nhr-105	C06G3.1	177476	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q3LQX0]			
WBGene00001821	ham-2	C07A12.1	180727	Zinc finger protein ham-2  [Source:UniProtKB/Swiss-Prot;Acc:H2KYH4]	H2KYH4		
WBGene00005008	spr-3	C07A12.5	180722	Suppressor of presenilin protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q17768]	Q17768	1	
WBGene00007416	ceh-57	C07E3.5	182370	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q17788]			
WBGene00007417	ceh-58	C07E3.6	182371	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q17792]			
WBGene00000223	atf-7	C07G2.2	175587	Transcription factor atf-7  [Source:UniProtKB/Swiss-Prot;Acc:Q86MD3]	Q86MD3		
WBGene00003024	lin-39	C07H6.7	176068	Homeobox protein lin-39  [Source:UniProtKB/Swiss-Prot;Acc:P34684]	P34684		
WBGene00007433	swsn-7	C08B11.3	174286	SWI/SNF nucleosome remodeling complex component  [Source:UniProtKB/Swiss-Prot;Acc:Q09441]	Q09441		
WBGene00001174	egl-5	C08C3.1	176093	Homeobox protein egl-5  [Source:UniProtKB/Swiss-Prot;Acc:P17486]	P17486		
WBGene00003102	mab-5	C08C3.3	176091	Homeobox protein mab-5  [Source:UniProtKB/Swiss-Prot;Acc:P10038]	P10038		
WBGene00003657	nhr-67	C08F8.8	178024	Nuclear hormone receptor family member nhr-67  [Source:UniProtKB/Swiss-Prot;Acc:Q9XVV3]	Q9XVV3	1	
WBGene00015651	ceh-53	C09G12.1	182467	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O44462]			
WBGene00007496	npax-4	C09G9.7	182466	Paired domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H9G2Q0]			
WBGene00003380	mnm-2	C10A4.8	182489	Zinc finger protein mnm-2  [Source:UniProtKB/Swiss-Prot;Acc:Q17895]	Q17895		
WBGene00000455	ceh-34	C10G8.6	178919	Homeobox protein ceh-34  [Source:UniProtKB/Swiss-Prot;Acc:Q94165]	Q94165		
WBGene00000454	ceh-33	C10G8.7	191622	Homeobox protein ceh-33  [Source:UniProtKB/Swiss-Prot;Acc:Q94166]	Q94166		
WBGene00003624	nhr-28	C11G6.4	181705	Nuclear hormone receptor family member nhr-28  [Source:UniProtKB/Swiss-Prot;Acc:Q17905]	Q17905		
WBGene00015716	sox-4	C12D12.5	182547	HMG box domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q17922]			
WBGene00015705	nhr-152	C12D5.2	182533	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q17929]			
WBGene00007547	nhr-154	C13C4.2	182565	Nuclear hormone receptor family member nhr-154  [Source:UniProtKB/Swiss-Prot;Acc:O01931]	O01931		
WBGene00003726	nhr-136	C13C4.3	182566	Nuclear hormone receptor family member nhr-136  [Source:UniProtKB/Swiss-Prot;Acc:O01930]	O01930		
WBGene00000439	ceh-16	C13G5.1	191618	Homeobox protein engrailed-like ceh-16  [Source:UniProtKB/Swiss-Prot;Acc:P34326]	P34326		
WBGene00001565	gei-8	C14B9.6	176145	Nuclear receptor corepressor 1  [Source:UniProtKB/Swiss-Prot;Acc:P34333]	P34333		
WBGene00015809	znf-622	C16A3.4	175905	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18037]			
WBGene00000430	ceh-5	C16C2.1	191616	Homeobox protein ceh-5  [Source:UniProtKB/Swiss-Prot;Acc:P20269]	P20269		
WBGene00003662	nhr-72	C17A2.8	191721	Nuclear receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O16537]			
WBGene00001966	hlh-27	C17C3.10	182719	BHLH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18056]			
