"geneid"	"SRR2040653"	"SRR2040654"	"SRR2040655"	"SRR2040656"	"SRR2040657"	"SRR2040658"
"WBGene00014450"	"1"	"0"	"0"	"1"	"0"	"0"
"WBGene00014451"	"100"	"32"	"8"	"52"	"21"	"13"
"WBGene00010957"	"24499"	"13808"	"9023"	"11462"	"7355"	"9778"
"WBGene00010958"	"8413"	"3845"	"2664"	"4110"	"1643"	"2685"
"WBGene00014452"	"10"	"3"	"13"	"6"	"6"	"25"
"WBGene00014453"	"0"	"0"	"0"	"1"	"0"	"0"
"WBGene00014454"	"1393"	"915"	"318"	"678"	"650"	"272"
"WBGene00014455"	"1"	"0"	"0"	"1"	"0"	"0"
"WBGene00014456"	"98"	"62"	"25"	"113"	"35"	"10"
"WBGene00014457"	"0"	"0"	"0"	"0"	"1"	"0"
"WBGene00010959"	"11748"	"4358"	"3158"	"6605"	"2273"	"3146"
"WBGene00010960"	"31301"	"13286"	"8483"	"10809"	"3160"	"6049"
"WBGene00014458"	"1"	"3"	"2"	"0"	"2"	"3"
"WBGene00014459"	"9"	"0"	"0"	"0"	"0"	"0"
"WBGene00014460"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00010961"	"2330"	"1941"	"1403"	"1953"	"1765"	"1888"
"WBGene00014461"	"1"	"0"	"0"	"0"	"0"	"0"
"WBGene00014462"	"5"	"1"	"1"	"5"	"2"	"0"
"WBGene00014463"	"20"	"22"	"9"	"10"	"2"	"3"
"WBGene00014464"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00000829"	"17498"	"12142"	"8776"	"10746"	"6546"	"9124"
"WBGene00014465"	"8"	"3"	"3"	"3"	"1"	"2"
"WBGene00010962"	"35839"	"7272"	"5332"	"10033"	"2881"	"4860"
"WBGene00014466"	"2"	"7"	"8"	"0"	"2"	"1"
"WBGene00010963"	"3086"	"1931"	"2031"	"2930"	"1593"	"2684"
"WBGene00010964"	"40744"	"10440"	"10106"	"18335"	"5853"	"11775"
"WBGene00014467"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00014468"	"6"	"2"	"0"	"1"	"0"	"2"
"WBGene00014469"	"0"	"1"	"0"	"0"	"2"	"0"
"WBGene00014470"	"1"	"0"	"1"	"1"	"0"	"1"
"WBGene00010965"	"14269"	"5540"	"3846"	"5001"	"2555"	"3324"
"WBGene00014471"	"0"	"1"	"1"	"1"	"0"	"0"
"WBGene00014472"	"7820"	"1856"	"703"	"2621"	"1184"	"648"
"WBGene00010966"	"24022"	"8890"	"5736"	"7271"	"3342"	"4906"
"WBGene00010967"	"11454"	"6483"	"3660"	"4595"	"2335"	"3532"
"WBGene00014473"	"16"	"3"	"3"	"4"	"3"	"1"
"WBGene00021406"	"358"	"74"	"80"	"253"	"100"	"78"
"WBGene00021407"	"52"	"6"	"5"	"67"	"9"	"5"
"WBGene00021408"	"12"	"1"	"0"	"21"	"14"	"2"
"WBGene00021405"	"3"	"1"	"0"	"3"	"1"	"0"
"WBGene00021409"	"2"	"1"	"0"	"0"	"2"	"0"
"WBGene00021404"	"9"	"2"	"0"	"15"	"8"	"5"
"WBGene00001492"	"296"	"88"	"91"	"230"	"100"	"96"
"WBGene00021403"	"50"	"8"	"10"	"75"	"8"	"6"
"WBGene00195502"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00235257"	"4"	"1"	"0"	"4"	"2"	"1"
"WBGene00235258"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166500"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00235260"	"0"	"0"	"1"	"0"	"1"	"0"
"WBGene00235259"	"0"	"1"	"0"	"0"	"0"	"0"
"WBGene00023131"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00235261"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00235262"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00201447"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00015246"	"156"	"520"	"457"	"368"	"588"	"644"
"WBGene00006599"	"432"	"141"	"60"	"268"	"179"	"84"
"WBGene00015247"	"26"	"21"	"11"	"16"	"7"	"12"
"WBGene00017927"	"1"	"0"	"0"	"0"	"0"	"0"
"WBGene00001111"	"0"	"1"	"0"	"0"	"0"	"0"
"WBGene00023277"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00017928"	"864"	"1070"	"925"	"1146"	"974"	"1136"
"WBGene00017929"	"711"	"169"	"484"	"268"	"451"	"438"
"WBGene00196821"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00017926"	"12893"	"22203"	"29469"	"19968"	"22895"	"29886"
"WBGene00000897"	"63"	"34"	"23"	"53"	"37"	"19"
"WBGene00000674"	"88"	"12"	"5"	"44"	"5"	"13"
"WBGene00198932"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00202431"	"0"	"0"	"0"	"1"	"0"	"0"
"WBGene00023019"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00197291"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00198551"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00199863"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021400"	"29"	"8"	"42"	"19"	"23"	"36"
"WBGene00021398"	"7507"	"17730"	"24279"	"15385"	"20799"	"30237"
"WBGene00219750"	"1"	"1"	"0"	"0"	"0"	"0"
"WBGene00021397"	"24"	"5"	"2"	"22"	"15"	"13"
"WBGene00021396"	"74"	"5"	"4"	"31"	"6"	"10"
"WBGene00198224"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00006561"	"379"	"50"	"27"	"120"	"23"	"17"
"WBGene00021395"	"659"	"538"	"1127"	"1064"	"875"	"1259"
"WBGene00196851"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021402"	"316"	"116"	"59"	"143"	"80"	"60"
"WBGene00000815"	"897"	"343"	"150"	"344"	"173"	"127"
"WBGene00044736"	"111"	"82"	"164"	"168"	"151"	"149"
"WBGene00195063"	"271"	"115"	"102"	"150"	"91"	"123"
"WBGene00021394"	"243"	"169"	"85"	"218"	"180"	"160"
"WBGene00021401"	"727"	"590"	"818"	"1039"	"834"	"1086"
"WBGene00019821"	"413"	"138"	"164"	"171"	"107"	"99"
"WBGene00019822"	"1769"	"2316"	"1632"	"3270"	"3125"	"2240"
"WBGene00019823"	"413"	"97"	"124"	"252"	"200"	"186"
"WBGene00019820"	"663"	"274"	"219"	"372"	"312"	"235"
"WBGene00019819"	"40"	"43"	"50"	"31"	"98"	"88"
"WBGene00001728"	"1"	"0"	"0"	"0"	"0"	"0"
"WBGene00019824"	"544"	"204"	"90"	"278"	"97"	"75"
"WBGene00019825"	"171"	"483"	"351"	"791"	"781"	"493"
"WBGene00001071"	"43"	"67"	"72"	"59"	"78"	"85"
"WBGene00020647"	"429"	"421"	"443"	"856"	"705"	"430"
"WBGene00003932"	"1150"	"182"	"132"	"220"	"47"	"108"
"WBGene00020651"	"222"	"106"	"156"	"59"	"71"	"104"
"WBGene00020650"	"0"	"0"	"0"	"1"	"2"	"0"
"WBGene00005487"	"3"	"0"	"0"	"2"	"1"	"1"
"WBGene00003362"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00020649"	"213"	"51"	"21"	"37"	"6"	"21"
"WBGene00206487"	"179"	"49"	"55"	"185"	"69"	"87"
"WBGene00045177"	"104"	"16"	"5"	"25"	"2"	"4"
"WBGene00020648"	"71"	"0"	"0"	"26"	"1"	"0"
"WBGene00019298"	"1042"	"210"	"260"	"443"	"120"	"123"
"WBGene00019300"	"83"	"27"	"11"	"77"	"17"	"9"
"WBGene00019299"	"25"	"0"	"9"	"7"	"12"	"13"
"WBGene00198707"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00001099"	"300"	"158"	"266"	"49"	"7"	"30"
"WBGene00001735"	"10"	"1"	"1"	"16"	"3"	"2"
"WBGene00200120"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00023092"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00017578"	"88"	"31"	"16"	"4"	"5"	"5"
"WBGene00000675"	"4023"	"110139"	"41987"	"15226"	"90892"	"47579"
"WBGene00017577"	"21"	"0"	"0"	"0"	"0"	"0"
"WBGene00017574"	"199"	"50"	"31"	"28"	"10"	"28"
"WBGene00017576"	"54"	"1"	"1"	"20"	"5"	"3"
"WBGene00197593"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00022048"	"1244"	"727"	"494"	"1364"	"829"	"577"
"WBGene00220192"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00004981"	"775"	"412"	"291"	"274"	"239"	"244"
"WBGene00020295"	"40"	"79"	"124"	"103"	"211"	"115"
"WBGene00004493"	"122392"	"217564"	"226011"	"171857"	"243698"	"272760"
"WBGene00044789"	"814"	"1027"	"1546"	"1218"	"1496"	"1436"
